Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,8756619870542,body_html,de,,,"The Marshall Artist Linear Box T-Shirt is a classic black tee with a relaxed fit for everyday comfort. Made from a soft, 100% cotton jersey (180gsm), it features a clean linear box logo printed on the chest.",
PRODUCT,8756619870542,body_html,en,,,"The Marshall Artist Linear Box T-Shirt is a classic black tee with a relaxed fit for everyday comfort. Made from a soft, 100% cotton jersey (180gsm), it features a clean linear box logo printed on the chest.",
PRODUCT,8756619870542,body_html,es,,,"The Marshall Artist Linear Box T-Shirt is a classic black tee with a relaxed fit for everyday comfort. Made from a soft, 100% cotton jersey (180gsm), it features a clean linear box logo printed on the chest.",
PRODUCT,8756619870542,body_html,fr,,,"The Marshall Artist Linear Box T-Shirt is a classic black tee with a relaxed fit for everyday comfort. Made from a soft, 100% cotton jersey (180gsm), it features a clean linear box logo printed on the chest.",
PRODUCT,7113412771903,meta_description,de,,,"MA.Strum kleding online kopen? Je doet het bij Casual Lads! T-shirts, Truien, Vesten, Jassen en meer voor een scherpe prijs! Bekijk het aanbod.",
PRODUCT,7113412771903,meta_description,en,,,"MA.Strum kleding online kopen? Je doet het bij Casual Lads! T-shirts, Truien, Vesten, Jassen en meer voor een scherpe prijs! Bekijk het aanbod.",
PRODUCT,7113412771903,meta_description,es,,,"MA.Strum kleding online kopen? Je doet het bij Casual Lads! T-shirts, Truien, Vesten, Jassen en meer voor een scherpe prijs! Bekijk het aanbod.",
PRODUCT,7113412771903,meta_description,fr,,,"MA.Strum kleding online kopen? Je doet het bij Casual Lads! T-shirts, Truien, Vesten, Jassen en meer voor een scherpe prijs! Bekijk het aanbod.",
PRODUCT,7113412935743,meta_title,de,,,MA.Strum bij Casual Lads - Voor 23:59 besteld is morgen in huis,
PRODUCT,7113412935743,meta_title,en,,,MA.Strum bij Casual Lads - Voor 23:59 besteld is morgen in huis,
PRODUCT,7113412935743,meta_title,es,,,MA.Strum bij Casual Lads - Voor 23:59 besteld is morgen in huis,
PRODUCT,7113412935743,meta_title,fr,,,MA.Strum bij Casual Lads - Voor 23:59 besteld is morgen in huis,
COLLECTION,83863732259,meta_title,de,,,Heren Longsleeves Online Kopen? | Ontdek Onze Collectie!,
COLLECTION,83863732259,meta_title,en,,,Heren Longsleeves Online Kopen? | Ontdek Onze Collectie!,
COLLECTION,83863732259,meta_title,es,,,Heren Longsleeves Online Kopen? | Ontdek Onze Collectie!,
COLLECTION,83863732259,meta_title,fr,,,Heren Longsleeves Online Kopen? | Ontdek Onze Collectie!,
COLLECTION,159765168191,meta_description,de,,,"Ontdek onze collectie heren accessoires, de perfecte aanvulling op je stijl. Van hoeden tot riemen, voeg een persoonlijke touch toe aan je outfits. Shop nu en geef je look de perfecte finishing touch met onze heren accessoires.",
COLLECTION,159765168191,meta_description,en,,,"Ontdek onze collectie heren accessoires, de perfecte aanvulling op je stijl. Van hoeden tot riemen, voeg een persoonlijke touch toe aan je outfits. Shop nu en geef je look de perfecte finishing touch met onze heren accessoires.",
COLLECTION,159765168191,meta_description,es,,,"Ontdek onze collectie heren accessoires, de perfecte aanvulling op je stijl. Van hoeden tot riemen, voeg een persoonlijke touch toe aan je outfits. Shop nu en geef je look de perfecte finishing touch met onze heren accessoires.",
COLLECTION,159765168191,meta_description,fr,,,"Ontdek onze collectie heren accessoires, de perfecte aanvulling op je stijl. Van hoeden tot riemen, voeg een persoonlijke touch toe aan je outfits. Shop nu en geef je look de perfecte finishing touch met onze heren accessoires.",
